Time	x1	y1	x2	y2
4.76	-0.73391	-1.20894	-1.57746	-1.94278
4.77	-0.744043	-1.20273	-1.58154	-1.94347
4.78	-0.753925	-1.19656	-1.58503	-1.94447
4.79	-0.763546	-1.19044	-1.58793	-1.94576
4.8	-0.772896	-1.18439	-1.59022	-1.94735
4.81	-0.781966	-1.17842	-1.59191	-1.94921
4.82	-0.790745	-1.17255	-1.59299	-1.95135
4.83	-0.799225	-1.16678	-1.59347	-1.95375
4.84	-0.807394	-1.16114	-1.59333	-1.95642
4.85	-0.815243	-1.15564	-1.59257	-1.95933
4.86	-0.822762	-1.1503	-1.59121	-1.96249
4.87	-0.829942	-1.14512	-1.58923	-1.96589
4.88	-0.836771	-1.14014	-1.58665	-1.96952
4.89	-0.843242	-1.13536	-1.58345	-1.97338
4.9	-0.849345	-1.1308	-1.57965	-1.97747
4.91	-0.85507	-1.12647	-1.57526	-1.98177
4.92	-0.860408	-1.1224	-1.57026	-1.98629
4.93	-0.865352	-1.11859	-1.56468	-1.99102
4.94	-0.869891	-1.11506	-1.55852	-1.99597
4.95	-0.874019	-1.11182	-1.55178	-2.00113
4.96	-0.877727	-1.1089	-1.54447	-2.00649
4.97	-0.881007	-1.10629	-1.53659	-2.01206
4.98	-0.883852	-1.10402	-1.52817	-2.01784
4.99	-0.886255	-1.10209	-1.5192	-2.02382
5	-0.888208	-1.10051	-1.5097	-2.03001
